Preference,Region,Places.Available,Description,ENT,CTX,GSX,OMFS,PAED,PLA,TO,URO,VAS,BRE,ICM
London - CT1 - Oct - 64,Health Education England London,1,"Paediatric Surgery Themed Programme. CT1 posts (4 month rotation): GOSH T&O, C&W Paed Surg, UCLH Gen Surg. CT2 posts (12 month rotation): King's Paed Surg. Posts are subject to change.",0,0,1,0,1,0,1,0,0,0,0
London - CT1 - Oct - 65,Health Education England London,1,"Paediatric Surgery Themed Programme. CT1 posts (6 month rotation): GSTT/Evelina Paed Surg/Neonates, GSTT Gen Surg. CT2 posts (6 month rotation): GOSH T&O, GOSH Paed Surg. Posts are subject to change.",0,0,1,0,1,0,1,0,0,0,0
London - CT1 - Oct - 66,Health Education England London,1,"Paediatric Surgery Themed Programme. CT1 posts (4 month rotation): GSTT/Evelina Paed Surg/Neonates. CT2 posts (6 month rotation): Whittington Gen Surg, GOSH Paed Surg. Posts are subject to change.",0,0,1,0,1,0,0,0,0,0,0
London - CT1 - Oct - 67,Health Education England London,1,"Plastic Surgery Themed Programme. CT1 posts (4 month rotation): West Middlesex Gen Surg, C&W Plastics, Brompton ITU. CT2 posts (12 month rotation): Charing X Plastics. Posts are subject to change.",0,0,1,0,0,1,0,0,0,0,1
London - CT1 - Oct - 68,Health Education England London,1,"Plastic Surgery Themed Programme. CT1 posts (4 month rotation): GSTT Plastics, GSTT T&O, GSTT Vascular. CT2 posts (6 month rotation): Royal Free Plastics, UCLH T&O. Posts are subject to change.",0,0,1,0,0,1,1,0,1,0,0
London - CT1 - Oct - 69,Health Education England London,1,"Plastic Surgery Themed Programme. CT1 posts (4 month rotation): C&W Plastics, C&W T&O, C&W Plastics. CT2 posts (6 month rotation): Royal London Plastics, St. Mary's ENT. Posts are subject to change.",1,0,0,0,0,1,1,0,0,0,0
London - CT1 - Oct - 7,Health Education England London,2,General Surgery Themed Programme. CT1 posts (12 month rotation): Croydon Gen Surg. CT2 posts (12 month rotation): Croydon Gen Surg. Posts are subject to change.,0,0,1,0,0,0,0,0,0,0,0
London - CT1 - Oct - 70,Health Education England London,1,"Plastic Surgery Themed Programme. CT1 posts (6 month rotation): UCLH T&O, St. George's Plastics. CT2 posts (6 month rotation): St. George's Plastics, Kingston T&O. Posts are subject to change.",0,0,0,0,0,1,1,0,0,0,0
London - CT1 - Oct - 71,Health Education England London,1,"Plastic Surgery Themed Programme. CT1 posts (4 month rotation): Charing X ITU, West Middlesex T&O, West Middlesex Gen Surg. CT2 posts (12 month rotation): C&W Plastics. Posts are subject to change.",0,0,1,0,0,1,1,0,0,0,1
London - CT1 - Oct - 72,Health Education England London,1,"OMFS Themed Programme. CT1 posts (4 month rotation): King's OMFS, King's N'surg, Epsom & St. Helier Gen Surg. CT2 posts (6 month rotation): St. George's OMFS, St. George's ENT. Posts are subject to change.",1,0,1,1,0,0,0,0,0,0,0
London - CT1 - Oct - 73,Health Education England London,1,"OMFS Themed Programme. CT1 posts (4 month rotation): King's Cardiothoracic, Epsom & St. Helier Gen Surg, King's OMFS. CT2 posts (6 month rotation): St. George's Plastics, St. George's OMFS. Posts are subject to change.",0,1,1,1,0,1,0,0,0,0,0
London - CT1 - Oct - 74,Health Education England London,1,"Urology Themed Programme. CT1 posts (4 month rotation): Whipps X Gen Surg, Whipp X Urology, Whipps X Gen Surg (LGI). CT2 posts (6 month rotation): Whittington Urology, Royal Free Gen Surg (Transplant). Posts are subject to change.",0,0,1,0,0,0,0,1,0,0,0
London - CT1 - Oct - 75,Health Education England London,1,"Urology Themed Programme. CT1 posts (4 month rotation): Whipps X Gen Surg (LGI), Whipp X Gen Surg, Whipps X Urology. CT2 posts (6 month rotation): North Middlesex Urology, North Middlesex Gen Surg. Posts are subject to change.",0,0,1,0,0,0,0,1,0,0,0
London - CT1 - Oct - 76,Health Education England London,1,"Urology Themed Programme. CT1 posts (6 month rotation): C&W Urology, C&W Gen Surg. CT2 posts (12 month rotation): Charing X Urology. Posts are subject to change.",0,0,1,0,0,0,0,1,0,0,0
London - CT1 - Oct - 77,Health Education England London,1,"Urology Themed Programme. CT1 posts (6 month rotation): Epsom & St. Helier Gen Surg, Epsom & St. Helier Urology. CT2 posts (12 month rotation): Kingston Urology. Posts are subject to change.",0,0,1,0,0,0,0,1,0,0,0
London - CT1 - Oct - 78,Health Education England London,1,"Urology Themed Programme. CT1 posts (6 month rotation): Epsom & St. Helier Urology, Epsom & St. Helier Gen Surg. CT2 posts (12 month rotation): St. George's Urology. Posts are subject to change.",0,0,1,0,0,0,0,1,0,0,0
London - CT1 - Oct - 79,Health Education England London,1,"Vascular Surgery Themed Programme. CT1 posts (8 month, 4 month rotation): UCLH Gen Surg, C&W T&O. CT2 posts (12 month rotation): Royal Free Vascular. Posts are subject to change.",0,0,1,0,0,0,1,0,1,0,0
London - CT1 - Oct - 8,Health Education England London,1,"General Surgery Themed Programme. CT1 posts (6 month rotation): Homerton Gen Surg, RLH Plastics. CT2 posts (6 month rotation): RLH Gen Surg, Whipps X Gen Surg. Posts are subject to change.",0,0,1,0,0,1,0,0,0,0,0
London - CT1 - Oct - 80,Health Education England London,1,"Vascular Surgery Themed Programme. CT1 posts (4 month rotation): St. George's ENT, Croydon T&O, Kingston Gen Surg. CT2 posts (12 month rotation): St. George's Vascular. Posts are subject to change.",1,0,1,0,0,0,1,0,1,0,0
London - CT1 - Oct - 81,Health Education England London,1,"Vascular Surgery Themed Programme. CT1 posts (4 month rotation): Kingston Gen Surg, Kingston T&O, Kingston Gen Surg. CT2 posts (12 month rotation): St. George's Vascular. Posts are subject to change.",0,0,1,0,0,0,1,0,1,0,0
London - CT1 - Oct - 82,Health Education England London,1,"Cardiothoracic Themed Programme. CT1 posts (12 month rotation): Harefield Cardiothoracic. CT2 posts (6 month rotation): St. George's Plastics, St. George's Cardiothoracic. Posts are subject to change.",0,1,0,0,0,1,0,0,0,0,0
London - CT1 - Oct - 83,Health Education England London,1,"Cardiothoracic Themed Programme. CT1 posts (4 month rotation): Brompton ITU, Brompton Cardiothoracic, Harefield Cardiothoracic. CT2 posts (6 month rotation): Hammersmith Gen Surg HPB/Endo/ENT, Hammersmith Cardiothoracic. Posts are subject to change.",1,1,1,0,0,0,0,0,0,0,1
London - CT1 - Oct - 84,Health Education England London,1,Plastic Surgery Themed Programme. CT1 posts (12 month rotation): Epsom T&O. CT2 posts (12 month rotation): St. George's Plastics. Posts are subject to change.,0,0,0,0,0,1,1,0,0,0,0
London - CT1 - Oct - 85,Health Education England London,1,"T&O Themed Programme. CT1 posts (6 month rotation): Whipps X T&O, RLH T&O. CT2 posts (6 month rotation): WX GS, WX T&O. Posts are subject to change.",0,0,1,0,0,0,1,0,0,0,0
London - CT1 - Oct - 86,Health Education England London,1,"Urology Themed Programme. CT1 posts (6 month rotation): PRUH GS, PRUH Urology. CT2 posts (6 month rotation): GSTT GS Bre, King's Urology. Posts are subject to change.",0,0,1,0,0,0,0,1,0,0,0
London - CT1 - Oct - 9,Health Education England London,1,"General Surgery Themed Programme. CT1 posts (8 month, 4 month rotation): Barnet Gen Surg, Brompton Cardiothoracic. CT2 posts (6 month rotation): UCLH Gen Surg UGI, RFH Gen Surg Col. Posts are subject to change.",0,1,1,0,0,0,0,0,0,0,0
North East - CT1 - ENT - Aug - 26,Health Education England North East,1,ENT Theme: Year 1 (3 rotations) Sunderland Royal Hospital - ENT / Royal Victoria Infirmary - OMFS / University Hospital of North Durham - Plastic Surgery,1,0,0,1,0,1,0,0,0,0,0
North East - CT1 - ENT - Aug - 27,Health Education England North East,1,ENT Theme: Year 1 (3 rotations) Royal Victoria Infirmary - Plastic Surgery / Royal Victoria Infirmary - T&O / Sunderland Royal Hospital - ENT,1,0,0,0,0,1,1,0,0,0,0
North East - CT1 - ENT - Aug - 28,Health Education England North East,1,ENT Theme: Year 1 (3 rotations) Royal Victoria Infirmary - Plastic Surgery / Sunderland Royal Hospital - ENT / Royal Victoria Infirmary - OMFS,1,0,0,1,0,1,0,0,0,0,0
North East - CT1 - GS - Aug - 1,Health Education England North East,1,General Surgery Theme: Year 1 (3 rotations) Darlington Memorial Hospital - General Surgery / Freeman Hospital - Urology / Royal Victoria Infirmary - T&O,0,0,1,0,0,0,1,1,0,0,0
North East - CT1 - GS - Aug - 10,Health Education England North East,1,General Surgery Theme: Year 1 (3 rotations) Royal Victoria Infirmary - Plastic Surgery / Freeman Hospital - Urology / University Hospital of North Tees - General Surgery,0,0,1,0,0,1,0,1,0,0,0
North East - CT1 - GS - Aug - 2,Health Education England North East,1,General Surgery Theme: Year 1 (3 rotations) James Cook University Hospital - General Surgery / James Cook University Hospital - Plastic Surgery / Freeman Hospital - Urology,0,0,1,0,0,1,0,1,0,0,0
North East - CT1 - GS - Aug - 3,Health Education England North East,1,General Surgery Theme: Year 1 (3 rotations) Queen Elizabeth Hospital - General Surgery / Royal Victoria Infirmary - Plastic Surgery / Royal Victoria Infirmary - T&O,0,0,1,0,0,1,1,0,0,0,0
North East - CT1 - GS - Aug - 4,Health Education England North East,1,General Surgery Theme: Year 1 (3 rotations) Queen Elizabeth Hospital - General Surgery / Royal Victoria Infirmary - Plastic Surgery / Royal Victoria Infirmary - T&O,0,0,1,0,0,1,1,0,0,0,0
North East - CT1 - GS - Aug - 5,Health Education England North East,1,General Surgery Theme: Year 1 (3 rotations) Royal Victoria Infirmary - General Surgery / Royal Victoria Infirmary - Plastic Surgery / Sunderland Royal Hospital - Urology,0,0,1,0,0,1,0,1,0,0,0
North East - CT1 - GS - Aug - 6,Health Education England North East,1,General Surgery Theme: Year 1 (3 rotations) University Hospital of North Tees - General Surgery / University Hospital of North Durham - Plastic Surgery / University Hospital of North Durham - T&O,0,0,1,0,0,1,1,0,0,0,0
North East - CT1 - GS - Aug - 7,Health Education England North East,1,General Surgery Theme: Year 1 (3 rotations) Sunderland Royal Hospital - General Surgery / Royal Victoria Infirmary - T&O / Royal Victoria Infirmary - Plastic Surgery,0,0,1,0,0,1,1,0,0,0,0
North East - CT1 - GS - Aug - 8,Health Education England North East,1,General Surgery Theme: Year 1 (3 rotations) Sunderland Royal Hospital - Urology / University Hospital of North Tees - General Surgery / Royal Victoria Infirmary - Plastic Surgery,0,0,1,0,0,1,0,1,0,0,0
North East - CT1 - GS - Aug - 9,Health Education England North East,1,General Surgery Theme: Year 1 (3 rotations) Sunderland Royal Hospital - Urology / Sunderland Royal Hospital - General Surgery / Sunderland Royal Hospital - T&O,0,0,1,0,0,0,1,1,0,0,0
North East - CT1 - PL - Aug - 13,Health Education England North East,1,Plastic Surgery Theme: Year 1 (3 rotations) James Cook University Hospital - Plastic Surgery / Freeman Hospital - General Surgery / James Cook University Hospital - T&O,0,0,1,0,0,1,1,0,0,0,0
North East - CT1 - PL - Aug - 14,Health Education England North East,1,Plastic Surgery Theme: Year 1 (3 rotations) James Cook University Hospital - Plastic Surgery / James Cook University Hospital - T&O / Freeman Hospital - General Surgery,0,0,1,0,0,1,1,0,0,0,0
North East - CT1 - PL - Aug - 15,Health Education England North East,1,Plastic Surgery Theme: Year 1 (3 rotations) James Cook University Hospital - Plastic Surgery / James Cook University Hospital - T&O / James Cook University Hospital - General Surgery,0,0,1,0,0,1,1,0,0,0,0
North East - CT1 - PL - Aug - 16,Health Education England North East,1,Plastic Surgery Theme: Year 1 (3 rotations) Royal Victoria Infirmary - Plastic Surgery / Royal Victoria Infirmary - T&O / Royal Victoria Infirmary - General Surgery,0,0,1,0,0,1,1,0,0,0,0
North East - CT1 - T&O - Aug - 17,Health Education England North East,1,T&O Theme: Year 1 (3 rotations) James Cook University Hospital - T&O / James Cook University Hospital - Plastic Surgery / Darlington Memorial Hospital - General Surgery,0,0,1,0,0,1,1,0,0,0,0
North East - CT1 - T&O - Aug - 18,Health Education England North East,1,T&O Theme: Year 1 (3 rotations) James Cook University Hospital - T&O / James Cook University Hospital - Plastic Surgery / Queen Elizabeth Hospital - General Surgery,0,0,1,0,0,1,1,0,0,0,0
North East - CT1 - T&O - Aug - 19,Health Education England North East,1,T&O Theme: Year 1 (3 rotations) Royal Victoria Infirmary - T&O / Queen Elizabeth Hospital - General Surgery / James Cook University Hospital - Plastic Surgery,0,0,1,0,0,1,1,0,0,0,0
North East - CT1 - T&O - Aug - 20,Health Education England North East,1,T&O Theme: Year 1 (3 rotations) Royal Victoria Infirmary - T&O / Royal Victoria Infirmary - Plastic Surgery / Sunderland Royal Hospital - General Surgery,0,0,1,0,0,1,1,0,0,0,0
North East - CT1 - T&O - Aug - 21,Health Education England North East,1,T&O Theme: Year 1 (3 rotations) Royal Victoria Infirmary - T&O / Sunderland Royal Hospital - Urology / James Cook University Hospital - Plastic Surgery,0,0,0,0,0,1,1,1,0,0,0
North East - CT1 - T&O - Aug - 22,Health Education England North East,1,T&O Theme: Year 1 (3 rotations) Sunderland Royal Hospital - T&O / Sunderland Royal Hospital - Urology / Royal Victoria Infirmary - Plastic Surgery,0,0,0,0,0,1,1,1,0,0,0
North East - CT1 - T&O - Aug - 23,Health Education England North East,1,T&O Theme: Year 1 (3 rotations) University Hospital of North Durham - T&O / University Hospital of North Durham - Plastic Surgery / Queen Elizabeth Hospital - General Surgery,0,0,1,0,0,1,1,0,0,0,0
North East - CT1 - T&O - Aug - 24,Health Education England North East,1,T&O Theme: Year 1 (3 rotations) University Hospital of North Durham - Plastic Surgery / Sunderland Royal Hospital - T&O / Freeman Hospital - Urology,0,0,0,0,0,1,1,1,0,0,0
North East - CT1 - T&O - Aug - 25,Health Education England North East,1,T&O Theme: Year 1 (3 rotations) University Hospital of North Durham - Plastic Surgery / University Hospital of North Durham - T&O / Sunderland Royal Hospital - Urology,0,0,0,0,0,1,1,1,0,0,0
North East - CT1 - UR - Aug - 11,Health Education England North East,1,Urology Theme: Year 1 (3 rotations) Freeman Hospital - Urology / Darlington Memorial Hospital - General Surgery / University Hospital of North Durham - Plastic Surgery,0,0,1,0,0,1,0,1,0,0,0
North East - CT1 - UR - Aug - 12,Health Education England North East,1,Urology Theme: Year 1 (3 rotations) Freeman Hospital - Urology / Queen Elizabeth Hospital - General Surgery / James Cook University Hospital - Plastic Surgery,0,0,1,0,0,1,0,1,0,0,0
North East - CT1 - VS - Aug - 29,Health Education England North East,1,Vascular Surgery Theme: Year 1 (3 rotations) Freeman Hospital - General Surgery / James Cook University Hospital - General Surgery / James Cook University Hospital - T&O,0,0,1,0,0,0,1,0,1,0,0
North West - Cheshire and Merseyside - CT1 - Aug - 1,Health Education England North West,1,"General Surgery Theme - Track Code: MER01 GS01 - INDICATIVE PLACEMENTS FOR FIRST TWO YEARS (SUBJECT TO CHANGE): Post 1: General Surgery (Upper GI) at The Royal Liverpool University Hospital (6 months), Post 2: General Surgery (Colorectal) at The Royal Liverpool University Hospital (6 months), Post 3: General Surgery (HPB) at The Royal Liverpool University Hospital (6 months), Post 4: Paediatric Surgery at Alder Hey Children's Hospital (6 months). For more info visit https://www.nwpgmd.nhs.uk/Specialty_Schools/Surgery/Core_Surgical_Training",1,0,1,0,1,0,1,0,0,0,0
North West - Cheshire and Merseyside - CT1 - Aug - 10,Health Education England North West,1,"General Surgery Theme - Track Code: MER10 GS10 - INDICATIVE PLACEMENTS FOR FIRST TWO YEARS (SUBJECT TO CHANGE): Post 1: Plastic Surgery at Whiston Hospital (6 months), Post 2: General Surgery (Colorectal) at Whiston Hospital (6 months), Post 3: General Surgery (Breast) at Warrington Hospital (6 months), Post 4: General Surgery (Colorectal) at The Royal Liverpool University Hospital (6 months). For more info visit https://www.nwpgmd.nhs.uk/Specialty_Schools/Surgery/Core_Surgical_Training",1,0,1,0,0,1,1,0,0,1,0
North West - Cheshire and Merseyside - CT1 - Aug - 11,Health Education England North West,1,"Otolaryngology (ENT) Theme - Track Code: MER11 ENT01 - INDICATIVE PLACEMENTS FOR FIRST TWO YEARS (SUBJECT TO CHANGE): Post 1: Otolaryngology (with General Surgery on-call) at Arrowe Park Hospital (6 months), Post 2: Plastic Surgery at Whiston Hospital (6 months), Post 3: Oral and Maxillo-facial Surgery at University Hospital Aintree (6 months), Post 4: Otolaryngology at University Hospital Aintree (6 months). For more info visit https://www.nwpgmd.nhs.uk/Specialty_Schools/Surgery/Core_Surgical_Training",1,0,1,1,0,1,1,0,0,0,0
North West - Cheshire and Merseyside - CT1 - Aug - 12,Health Education England North West,1,"Otolaryngology (ENT) Theme - Track Code: MER12 ENT02 - INDICATIVE PLACEMENTS FOR FIRST TWO YEARS (SUBJECT TO CHANGE): Post 1: Plastic Surgery at Whiston Hospital (6 months), Post 2: Otolaryngology (with General Surgery on-call) at Arrowe Park Hospital (6 months), Post 3: Otolaryngology at University Hospital Aintree (6 months), Post 4: Oral and Maxillo-facial Surgery at University Hospital Aintree (6 months). For more info visit https://www.nwpgmd.nhs.uk/Specialty_Schools/Surgery/Core_Surgical_Training",1,0,1,1,0,1,1,0,0,0,0
North West - Cheshire and Merseyside - CT1 - Aug - 13,Health Education England North West,1,"Otolaryngology (ENT) Theme - Track Code: MER13 ENT03 - INDICATIVE PLACEMENTS FOR FIRST TWO YEARS (SUBJECT TO CHANGE): Post 1: Otolaryngology at University Hospital Aintree (6 months), Post 2: Plastic Surgery at Whiston Hospital (6 months), Post 3: Otolaryngology at University Hospital Aintree (6 months), Post 4: Cardiothoracic Surgery at Liverpool Heart and Chest Hospital (6 months). For more info visit https://www.nwpgmd.nhs.uk/Specialty_Schools/Surgery/Core_Surgical_Training",1,1,0,0,0,1,1,0,0,0,0
North West - Cheshire and Merseyside - CT1 - Aug - 14,Health Education England North West,1,"Paediatric Surgery Theme - Track Code: MER15 Paeds01 - INDICATIVE PLACEMENTS FOR FIRST TWO YEARS (SUBJECT TO CHANGE): Post 1: Paediatric Surgery at Alder Hey Children's Hospital (6 months), Post 2: General Surgery (Paediatrics) at Warrington Hospital (6 months), Post 3: General Surgery (Neonates) at Arrowe Park Hospital (6 months), Post 4: Paediatric Surgery at Alder Hey Children's Hospital (6 months). For more info visit https://www.nwpgmd.nhs.uk/Specialty_Schools/Surgery/Core_Surgical_Training",1,0,1,0,1,0,1,0,0,0,0
North West - Cheshire and Merseyside - CT1 - Aug - 15,Health Education England North West,1,"Paediatric Surgery Theme - Track Code: MER16 Paeds02 - INDICATIVE PLACEMENTS FOR FIRST TWO YEARS (SUBJECT TO CHANGE): Post 1: General Surgery (Paediatrics) at Warrington Hospital (6 months), Post 2: General Surgery (Neonates) at Arrowe Park Hospital (6 months), Post 3: Paediatric Surgery at Alder Hey Children's Hospital (6 months), Post 4: Paediatric Surgery (Paediatric Urology) at Alder Hey Children's Hospital (6 months). For more info visit https://www.nwpgmd.nhs.uk/Specialty_Schools/Surgery/Core_Surgical_Training",1,0,1,0,1,0,1,1,0,0,0
North West - Cheshire and Merseyside - CT1 - Aug - 16,Health Education England North West,1,"Plastic Surgery Theme - Track Code: MER17 Plast01 - INDICATIVE PLACEMENTS FOR FIRST TWO YEARS (SUBJECT TO CHANGE): Post 1: Otolaryngology at The Royal Liverpool University Hospital (6 months), Post 2: Trauma and Orthopaedic Surgery at University Hospital Aintree (6 months), Post 3: Plastic Surgery at Whiston Hospital (6 months), Post 4: Plastic Surgery at Whiston Hospital (6 months). For more info visit https://www.nwpgmd.nhs.uk/Specialty_Schools/Surgery/Core_Surgical_Training",1,0,0,0,0,1,1,0,0,0,0
North West - Cheshire and Merseyside - CT1 - Aug - 17,Health Education England North West,1,"Trauma and Orthopaedic Surgery Theme - Track Code: MER18 TO01 - INDICATIVE PLACEMENTS FOR FIRST TWO YEARS (SUBJECT TO CHANGE): Post 1: Trauma and Orthopaedic Surgery at University Hospital Aintree (6 months), Post 2: Trauma and Orthopaedic Surgery at Southport and Formby District General Hospital (6 months), Post 3: Plastic Surgery at Alder Hey Children's Hospital (4 months), Post 4: Neurosurgery at The Walton Centre (4 months), Post 5: Trauma and Orthopaedic Surgery at Alder Hey Children's Hospital (4 months). For more info visit https://www.nwpgmd.nhs.uk/Specialty_Schools/Surgery/Core_Surgical_Training",1,0,0,0,0,1,1,0,0,0,0
North West - Cheshire and Merseyside - CT1 - Aug - 18,Health Education England North West,1,"Trauma and Orthopaedic Surgery Theme - Track Code: MER19 TO02 - INDICATIVE PLACEMENTS FOR FIRST TWO YEARS (SUBJECT TO CHANGE): Post 1: Trauma and Orthopaedic Surgery at Southport and Formby District General Hospital (6 months), Post 2: Trauma and Orthopaedic Surgery at University Hospital Aintree (6 months), Post 3: Trauma and Orthopaedic Surgery at Alder Hey Children's Hospital (4 months), Post 4: Plastic Surgery at Alder Hey Children's Hospital (4 months), Post 5: Neurosurgery at The Walton Centre (4 months). For more info visit https://www.nwpgmd.nhs.uk/Specialty_Schools/Surgery/Core_Surgical_Training",1,0,0,0,0,1,1,0,0,0,0
North West - Cheshire and Merseyside - CT1 - Aug - 19,Health Education England North West,1,"Trauma and Orthopaedic Surgery Theme - Track Code: MER20 TO03 - INDICATIVE PLACEMENTS FOR FIRST TWO YEARS (SUBJECT TO CHANGE): Post 1: Trauma and Orthopaedic Surgery at Arrowe Park Hospital (6 months), Post 2: Trauma and Orthopaedic Surgery at Arrowe Park Hospital (6 months), Post 3: General Surgery (Colorectal) at Countess of Chester Hospital (4 months), Post 4: Vascular Surgery at Countess of Chester Hospital (4 months), Post 5: Trauma and Orthopaedic Surgery at Countess of Chester Hospital (4 months). For more info visit https://www.nwpgmd.nhs.uk/Specialty_Schools/Surgery/Core_Surgical_Training",1,0,1,0,0,0,1,0,1,0,0
North West - Cheshire and Merseyside - CT1 - Aug - 2,Health Education England North West,1,"General Surgery Theme - Track Code: MER02 GS02 - INDICATIVE PLACEMENTS FOR FIRST TWO YEARS (SUBJECT TO CHANGE): Post 1: General Surgery (Colorectal) at The Royal Liverpool University Hospital (6 months), Post 2: General Surgery (Upper GI) at The Royal Liverpool University Hospital (6 months), Post 3: Urology at The Royal Liverpool University Hospital (6 months), Post 4: Vascular Surgery at The Royal Liverpool University Hospital (6 months). For more info visit https://www.nwpgmd.nhs.uk/Specialty_Schools/Surgery/Core_Surgical_Training",1,0,1,0,0,0,1,1,1,0,0
North West - Cheshire and Merseyside - CT1 - Aug - 20,Health Education England North West,1,"Trauma and Orthopaedic Surgery Theme - Track Code: MER21 TO04 - INDICATIVE PLACEMENTS FOR FIRST TWO YEARS (SUBJECT TO CHANGE): Post 1: Trauma and Orthopaedic Surgery at Arrowe Park Hospital (6 months), Post 2: Trauma and Orthopaedic Surgery at Arrowe Park Hospital (6 months), Post 3: Trauma and Orthopaedic Surgery at Countess of Chester Hospital (4 months), Post 4: General Surgery (Colorectal) at Countess of Chester Hospital (4 months), Post 5: Vascular Surgery at Countess of Chester Hospital (4 months). For more info visit https://www.nwpgmd.nhs.uk/Specialty_Schools/Surgery/Core_Surgical_Training",1,0,1,0,0,0,1,0,1,0,0
North West - Cheshire and Merseyside - CT1 - Aug - 21,Health Education England North West,1,"Trauma and Orthopaedic Surgery Theme - Track Code: MER22 TO05 - INDICATIVE PLACEMENTS FOR FIRST TWO YEARS (SUBJECT TO CHANGE): Post 1: Trauma and Orthopaedic Surgery at University Hospital Aintree (6 months), Post 2: Trauma and Orthopaedic Surgery at Macclesfield District General Hospital (6 months), Post 3: Neurosurgery at The Walton Centre (4 months), Post 4: Trauma and Orthopaedic Surgery at Alder Hey Children's Hospital (4 months), Post 5: Plastic Surgery at Alder Hey Children's Hospital (4 months). For more info visit https://www.nwpgmd.nhs.uk/Specialty_Schools/Surgery/Core_Surgical_Training",1,0,0,0,0,1,1,0,0,0,0
North West - Cheshire and Merseyside - CT1 - Aug - 22,Health Education England North West,1,"Trauma and Orthopaedic Surgery Theme - Track Code: MER23 TO06 - INDICATIVE PLACEMENTS FOR FIRST TWO YEARS (SUBJECT TO CHANGE): Post 1: Trauma and Orthopaedic Surgery at Macclesfield District General Hospital (6 months), Post 2: Trauma and Orthopaedic Surgery at University Hospital Aintree (6 months), Post 3: Trauma and Orthopaedic Surgery at Alder Hey Children's Hospital (4 months), Post 4: Neurosurgery at The Walton Centre (4 months), Post 5: Plastic Surgery at Alder Hey Children's Hospital (4 months). For more info visit https://www.nwpgmd.nhs.uk/Specialty_Schools/Surgery/Core_Surgical_Training",1,0,0,0,0,1,1,0,0,0,0
North West - Cheshire and Merseyside - CT1 - Aug - 23,Health Education England North West,1,"Trauma and Orthopaedic Surgery Theme - Track Code: MER24 TO07 - INDICATIVE PLACEMENTS FOR FIRST TWO YEARS (SUBJECT TO CHANGE): Post 1: Trauma and Orthopaedic Surgery at Arrowe Park Hospital (6 months), Post 2: Trauma and Orthopaedic Surgery at Arrowe Park Hospital (6 months), Post 3: Vascular Surgery at Countess of Chester Hospital (4 months), Post 4: Trauma and Orthopaedic Surgery at Countess of Chester Hospital (4 months), Post 5: General Surgery (Colorectal) at Countess of Chester Hospital (4 months). For more info visit https://www.nwpgmd.nhs.uk/Specialty_Schools/Surgery/Core_Surgical_Training",1,0,1,0,0,0,1,0,1,0,0
North West - Cheshire and Merseyside - CT1 - Aug - 24,Health Education England North West,1,"Trauma and Orthopaedic Surgery Theme - Track Code: MER25 TO08 - INDICATIVE PLACEMENTS FOR FIRST TWO YEARS (SUBJECT TO CHANGE): Post 1: Trauma and Orthopaedic Surgery at University Hospital Aintree (6 months), Post 2: Trauma and Orthopaedic Surgery at University Hospital Aintree (6 months), Post 3: Plastic Surgery at Alder Hey Children's Hospital (4 months), Post 4: Trauma and Orthopaedic Surgery at Alder Hey Children's Hospital (4 months), Post 5: Neurosurgery at The Walton Centre (4 months). For more info visit https://www.nwpgmd.nhs.uk/Specialty_Schools/Surgery/Core_Surgical_Training",1,0,0,0,0,1,1,0,0,0,0
North West - Cheshire and Merseyside - CT1 - Aug - 25,Health Education England North West,1,"Trauma and Orthopaedic Surgery Theme - Track Code: MER26 TO09 - INDICATIVE PLACEMENTS FOR FIRST TWO YEARS (SUBJECT TO CHANGE): Post 1: Trauma and Orthopaedic Surgery at University Hospital Aintree (6 months), Post 2: Trauma and Orthopaedic Surgery at University Hospital Aintree (6 months), Post 3: Neurosurgery at The Walton Centre (4 months), Post 4: Plastic Surgery at Alder Hey Children's Hospital (4 months), Post 5: Trauma and Orthopaedic Surgery at Alder Hey Children's Hospital (4 months). For more info visit https://www.nwpgmd.nhs.uk/Specialty_Schools/Surgery/Core_Surgical_Training",1,0,0,0,0,1,1,0,0,0,0
North West - Cheshire and Merseyside - CT1 - Aug - 26,Health Education England North West,1,"Trauma and Orthopaedic Surgery Theme - Track Code: MER27 TO10 - INDICATIVE PLACEMENTS FOR FIRST TWO YEARS (SUBJECT TO CHANGE): Post 1: Trauma and Orthopaedic Surgery at University Hospital Aintree (6 months), Post 2: Trauma and Orthopaedic Surgery at Southport and Formby District General Hospital (6 months), Post 3: Trauma and Orthopaedic Surgery at Southport and Formby District General Hospital (6 months), Post 4: Neurosurgery at The Walton Centre (6 months). For more info visit https://www.nwpgmd.nhs.uk/Specialty_Schools/Surgery/Core_Surgical_Training",1,0,0,0,0,0,1,0,0,0,0
North West - Cheshire and Merseyside - CT1 - Aug - 27,Health Education England North West,1,"Urology Theme - Track Code: MER28 Urol01 - INDICATIVE PLACEMENTS FOR FIRST TWO YEARS (SUBJECT TO CHANGE): Post 1: Urology at Whiston Hospital (6 months), Post 2: General Surgery (Breast and Endocrine) at The Royal Liverpool University Hospital (6 months), Post 3: Paediatric Surgery (Paediatric Urology) at Alder Hey Children's Hospital (6 months), Post 4: Urology at Arrowe Park Hospital (6 months). For more info visit https://www.nwpgmd.nhs.uk/Specialty_Schools/Surgery/Core_Surgical_Training",1,0,1,0,1,0,1,1,0,1,0
